vendor_name,is_anomaly,anomaly_type,severity,expired_certifications,explanation
FortKnox Payments 13,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,FortKnox Payments 13 had a breach within 12 months and has sensitive data access.
GlobalMesh MSS 13,true,EXPIRED_CERTIFICATION,MEDIUM,SOC2_TYPE2,GlobalMesh MSS 13 has expired certification(s).
HealthBridge IT 13,true,EXPIRED_CERTIFICATION,HIGH,ISO_27001,HealthBridge IT 13 has expired certification(s) and accesses sensitive data.
IntelliGuard Software 13,false,,,,
JetStream Infrastructure 13,false,,,,
KeyLock Security 13,false,,,,
LibertyData Corp 13,false,,,,
MegaScale Hosting 13,true,EXPIRED_CERTIFICATION,MEDIUM,PCI_DSS,MegaScale Hosting 13 has expired certification(s).
NetSafe Solutions 13,false,,,,
OmniCloud Services 13,true,RECENTLY_BREACHED_VENDOR,MEDIUM,,OmniCloud Services 13 had a security breach within the last 12 months.
PrecisionPay Ltd 13,false,,,,
QuantumRisk Analytics 13,false,,,,
RapidDeploy Systems 13,true,EXPIRED_CERTIFICATION,HIGH,HIPAA,RapidDeploy Systems 13 has expired certification(s) and accesses sensitive data.
SecureHarbor Inc 13,true,EXPIRED_CERTIFICATION,HIGH,"HIPAA,SOC2_TYPE1",SecureHarbor Inc 13 has expired certification(s) and accesses sensitive data.
TrustFrame Technologies 13,false,,,,
UltraSecure MSS 13,false,,,,
VaultMaster Corp 13,false,,,,
WebArmor Ltd 13,true,EXPIRED_CERTIFICATION,MEDIUM,HIPAA,WebArmor Ltd 13 has expired certification(s).
XcelData Solutions 13,false,,,,
YieldSecure Analytics 13,false,,,,
ZenCloud Systems 13,false,,,,
Acme Cloud Storage 14,true,EXPIRED_CERTIFICATION,MEDIUM,HIPAA,Acme Cloud Storage 14 has expired certification(s).
BlueShield Analytics 14,true,EXPIRED_CERTIFICATION,MEDIUM,"PCI_DSS,SOC2_TYPE1",BlueShield Analytics 14 has expired certification(s).
ClearPath Networks 14,false,,,,
DataVault Systems 14,false,,,,
EdgeSecure Ltd 14,true,EXPIRED_CERTIFICATION,HIGH,SOC2_TYPE1,EdgeSecure Ltd 14 has expired certification(s) and accesses sensitive data.
FortKnox Payments 14,false,,,,
GlobalMesh MSS 14,false,,,,
HealthBridge IT 14,false,,,,
IntelliGuard Software 14,false,,,,
JetStream Infrastructure 14,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,ISO_27001,JetStream Infrastructure 14 had a breach within 12 months and has sensitive data access.
KeyLock Security 14,true,VENDOR_UNDER_INVESTIGATION,CRITICAL,,KeyLock Security 14 is currently under regulatory investigation.
LibertyData Corp 14,false,,,,
MegaScale Hosting 14,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,MegaScale Hosting 14 had a breach within 12 months and has sensitive data access.
NetSafe Solutions 14,true,EXPIRED_CERTIFICATION,HIGH,"SOC2_TYPE1,SOC2_TYPE2",NetSafe Solutions 14 has expired certification(s) and accesses sensitive data.
OmniCloud Services 14,true,VENDOR_UNDER_INVESTIGATION,CRITICAL,,OmniCloud Services 14 is currently under regulatory investigation.
PrecisionPay Ltd 14,true,EXPIRED_CERTIFICATION,HIGH,SOC2_TYPE1,PrecisionPay Ltd 14 has expired certification(s) and accesses sensitive data.
QuantumRisk Analytics 14,false,,,,
RapidDeploy Systems 14,true,RECENTLY_BREACHED_VENDOR,MEDIUM,,RapidDeploy Systems 14 had a security breach within the last 12 months.
SecureHarbor Inc 14,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,SOC2_TYPE1,SecureHarbor Inc 14 had a breach within 12 months and has sensitive data access.
TrustFrame Technologies 14,false,,,,
UltraSecure MSS 14,false,,,,
VaultMaster Corp 14,false,,,,
WebArmor Ltd 14,false,,,,
XcelData Solutions 14,false,,,,
YieldSecure Analytics 14,false,,,,
ZenCloud Systems 14,true,RECENTLY_BREACHED_VENDOR,MEDIUM,SOC2_TYPE1,ZenCloud Systems 14 had a security breach within the last 12 months.
Acme Cloud Storage 15,false,,,,
BlueShield Analytics 15,true,VENDOR_UNDER_INVESTIGATION,CRITICAL,,BlueShield Analytics 15 is currently under regulatory investigation.
ClearPath Networks 15,false,,,,
DataVault Systems 15,false,,,,
EdgeSecure Ltd 15,true,RECENTLY_BREACHED_VENDOR,MEDIUM,,EdgeSecure Ltd 15 had a security breach within the last 12 months.
FortKnox Payments 15,true,EXPIRED_CERTIFICATION,MEDIUM,PCI_DSS,FortKnox Payments 15 has expired certification(s).
GlobalMesh MSS 15,false,,,,
HealthBridge IT 15,false,,,,
IntelliGuard Software 15,false,,,,
JetStream Infrastructure 15,false,,,,
KeyLock Security 15,false,,,,
LibertyData Corp 15,false,,,,
MegaScale Hosting 15,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,MegaScale Hosting 15 had a breach within 12 months and has sensitive data access.
NetSafe Solutions 15,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,NetSafe Solutions 15 had a breach within 12 months and has sensitive data access.
OmniCloud Services 15,false,,,,
PrecisionPay Ltd 15,false,,,,
QuantumRisk Analytics 15,false,,,,
RapidDeploy Systems 15,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,SOC2_TYPE2,RapidDeploy Systems 15 had a breach within 12 months and has sensitive data access.
SecureHarbor Inc 15,true,EXPIRED_CERTIFICATION,HIGH,ISO_27001,SecureHarbor Inc 15 has expired certification(s) and accesses sensitive data.
TrustFrame Technologies 15,false,,,,
UltraSecure MSS 15,false,,,,
VaultMaster Corp 15,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,"ISO_27001,PCI_DSS",VaultMaster Corp 15 had a breach within 12 months and has sensitive data access.
WebArmor Ltd 15,true,EXPIRED_CERTIFICATION,MEDIUM,SOC2_TYPE2,WebArmor Ltd 15 has expired certification(s).
XcelData Solutions 15,false,,,,
YieldSecure Analytics 15,true,RECENTLY_BREACHED_VENDOR,MEDIUM,,YieldSecure Analytics 15 had a security breach within the last 12 months.
ZenCloud Systems 15,true,RECENTLY_BREACHED_VENDOR,MEDIUM,,ZenCloud Systems 15 had a security breach within the last 12 months.
Acme Cloud Storage 16,false,,,,
BlueShield Analytics 16,false,,,,
ClearPath Networks 16,false,,,,
DataVault Systems 16,true,EXPIRED_CERTIFICATION,MEDIUM,SOC2_TYPE2,DataVault Systems 16 has expired certification(s).
EdgeSecure Ltd 16,false,,,,
FortKnox Payments 16,false,,,,
GlobalMesh MSS 16,false,,,,
HealthBridge IT 16,true,EXPIRED_CERTIFICATION,HIGH,PCI_DSS,HealthBridge IT 16 has expired certification(s) and accesses sensitive data.
IntelliGuard Software 16,false,,,,
JetStream Infrastructure 16,true,EXPIRED_CERTIFICATION,MEDIUM,HIPAA,JetStream Infrastructure 16 has expired certification(s).
